ID,Category,Region,WingStatus,Inventory ID,Country,Airline,Wing Identification,Circa,Material,Size,Hallmark,Clutch/Screw/Pin,Year Acquired,Source,Acquired by,Cost,Sale/Trade,Market Value,Condition,Date MV,Thumbnail,Photo,Reverse Photo,Memo,Additional Notes,Status
1000,C,2,Yes,ARG-C-ARG-030,Argentina,Aerolineas Argentina,First Officer,,Metal,,,Clutch,2004,Ebay,Purchased,$85.00 ,,,Excellent,,small_argcarg30.jpg,argcarg30.jpg,nopicture.gif,The silver wings for First and Second Officers are no longer in use.,,A
1001,C,2,Yes,ARG-C-ARG-050,Argentina,Aerolineas Argentina,Pilot,,Metal,,,Clutch,2003,Trade with collector in Argentina,Trade,,,,Excellent,,small_argcarg50.jpg,argcarg50.jpg,nopicture.gif,All pilots now wear the gold wings,,A
1002,C,1,Yes,CAN-C-ABL-030,Canada,Air BC,First Officer ,1999,Metal,,,Clutch,1999,,Purchase,$20.00 ,,,Mint,,small_cancabl30.jpg,cancabl30.jpg,nopicture.gif,,,A
1003,C,1,Yes,CAN-C-ABL-035,Canada,Air BC,Captain,1999,Metal,,,Clutch,1999,,Purchase,$20.00 ,,,Mint,,small_cancabl35.jpg,cancabl35.jpg,nopicture.gif,,,A
1004,C,1,Yes,CAN-C-ACA-010,Canada,Air Canada,Pilot,,Metal,,,Screw,2003,,Auction,,,,Good,,small_cancaca10.jpg,cancaca10.jpg,nopicture.gif,,,A
1005,C,1,Yes,CAN-C-ACA-020,Canada,Air Canada,Pilot,,Metal,,,Screw,,Trade - Ken Taylor,Trade,,,,Good,,small_cancaca20.jpg,cancaca20.jpg,nopicture.gif,,,A
1006,C,1,Yes,CAN-C-ACA-030,Canada,Air Canada,Pilot,,Bullion,,,Screw,,,,,,,Good,,small_cancaca30.jpg,cancaca30.jpg,nopicture.gif,,,A
1007,C,1,Yes,CAN-C-ACA-040,Canada,Air Canada,First Officer / Second Officer,1997,Metal,,,Clutch,1997,Donated Crewmember in LGA,Donation,,,,Fair,,small_cancaca40.jpg,cancaca40.jpg,nopicture.gif,"Wing also used by Air Canada, Tango",,A
1008,C,1,Yes,CAN-C-ACA-045,Canada,Air Canada,Captain,1997,Metal,,,Clutch,,,,,,,Fair,,small_cancaca45.jpg,cancaca45.jpg,nopicture.gif,Father crewmember,,A
1009,C,1,Yes,CAN-C-ANT-010,Canada,Air North,Pilot,,Metal,,,Pin,,Donation,Donation ,,,,Mint,,small_cancant10.jpg,cancant10.jpg,nopicture.gif,,,A
